Weight,Height,,,,
3.39918645,49.28639612,,,,
3.79752846,51.68358057,,,,
4.544776513,55.28612813,,,,
5.230584214,58.09381906,,,,
5.859960798,60.45980763,,,,
6.437587751,62.53669656,,,,
6.967850457,64.40632762,,,,
7.454854109,66.11841553,,,,
7.902436186,67.70574419,,,,
8.314178377,69.19123614,,,,
8.693418423,70.59163924,,,,
9.043261854,71.91961673,,,,
9.366593571,73.1850104,,,,
9.666089185,74.39564379,,,,
9.944226063,75.5578544,,,,
10.20329397,76.67685871,,,,
10.4454058,77.75700986,,,,
10.67250698,78.80198406,,,,
10.88638558,79.81491852,,,,
11.08868151,80.79851532,,,,
11.28089537,81.75512092,,,,
11.46439708,82.6867881,,,,
11.64043402,83.59532461,,,,
11.81013895,84.48233206,,,,
12.05503983,84.97555512,,,,
12.13455523,85.3973169,,,,
12.2910249,86.29026318,,,,
12.44469258,87.15714182,,,,
12.59622335,87.9960184,,,,
12.74620911,88.8055115,,,,
12.89517218,89.58476689,,,,
13.04357164,90.33341722,,,,
13.19180874,91.0515436,,,,
13.34022934,91.7396352,,,,
13.48913319,92.39854429,,,,
13.63877446,93.02945392,,,,
13.78936547,93.63382278,,,,
13.94108332,94.21335709,,,,
14.09407175,94.79643239,,,,
14.24844498,95.37391918,,,,
14.40429169,95.94692677,,,,
14.56167529,96.51644912,,,,
14.72064045,97.08337211,,,,
14.88121352,97.6484807,,,,
15.04340553,98.21246579,,,,
15.20721443,98.77593069,,,,
15.37262729,99.33939735,,,,
15.53962221,99.9033122,,,,
15.70817017,100.4680516,,,,
15.87823668,101.033927,,,,
16.04978452,101.6011898,,,,
16.2227706,102.1700358,,,,
16.39715363,102.7406094,,,,
16.57289122,103.3130077,,,,
16.74994187,103.8872839,,,,
16.92826587,104.4634511,,,,
17.10782615,105.0414853,,,,
17.28858894,105.6213287,,,,
17.47052444,106.2028921,,,,
17.65360733,106.7860583,,,,
17.83781722,107.3706841,,,,
18.02313904,107.9566031,,,,
18.20956418,108.5436278,,,,
18.3970876,109.1315521,,,,
18.58571243,109.7201531,,,,
18.77544728,110.3091934,,,,
18.966307,110.8984228,,,,
19.15831267,111.4875806,,,,
19.35149163,112.0763967,,,,
19.54587708,112.6645943,,,,
19.74150854,113.2518902,,,,
19.93843145,113.8380006,,,,
20.13669623,114.4226317,,,,
20.33635961,115.0054978,,,,
20.53748298,115.5863089,,,,
20.74013277,116.1647782,,,,
20.94438028,116.7406221,,,,
21.15030093,117.3135622,,,,
21.35797332,117.8833259,,,,
21.56748045,118.4496481,,,,
21.77890902,119.0122722,,,,
21.99234686,119.5709513,,,,
22.20788541,120.1254495,,,,
22.4256177,120.6755427,,,,
22.64563824,121.22102,,,,
22.86804258,121.7616844,,,,
23.09292679,122.2973542,,,,
23.32038549,122.827864,,,,
23.55051871,123.3530652,,,,
23.78341652,123.8728276,,,,
24.01917703,124.38704,,,,
24.25789074,124.8956114,,,,
24.49964778,125.398472,,,,
24.74453536,125.895574,,,,
24.99263735,126.3868929,,,,
25.24403371,126.8724284,,,,
25.49880264,127.3522056,,,,
25.7570168,127.8262759,,,,
26.01874261,128.2947187,,,,
26.28404312,128.757642,,,,
26.55297507,129.2151839,,,,
26.82558904,129.6675143,,,,
27.1019295,130.1148354,,,,
27.38203422,130.5573839,,,,
27.66593402,130.995432,,,,
27.9536524,131.4292887,,,,
28.24520531,131.8593015,,,,
28.54060085,132.2858574,,,,
28.83983907,132.7093845,,,,
29.14291171,133.1303527,,,,
29.44980208,133.5492749,,,,
29.76048479,133.9667073,,,,
30.0749257,134.3832499,,,,
30.39308176,134.7995463,,,,
30.71490093,135.2162826,,,,
31.0403221,135.634186,,,,
31.36927506,136.0540223,,,,
31.7016805,136.4765925,,,,
32.03744999,136.9027281,,,,
32.37648607,137.3332846,,,,
32.71868225,137.7691339,,,,
33.06392318,138.2111552,,,,
33.4120847,138.6602228,,,,
33.76303402,139.1171933,,,,
34.1166299,139.5828898,,,,
34.47272283,140.0580848,,,,
34.83115524,140.5434787,,,,
35.19176177,141.0396832,,,,
35.55437176,141.5471945,,,,
35.91879976,142.0663731,,,,
36.28486194,142.59742,,,,
36.65236365,143.1403553,,,,
37.02110818,143.6949981,,,,
37.39088668,144.2609497,,,,
37.76148905,144.8375809,,,,
38.1326991,145.4240246,,,,
38.50429603,146.0191748,,,,
38.87605489,146.621692,,,,
39.24774707,147.2300177,,,,
39.61914076,147.8423918,,,,
39.98999994,148.4568879,,,,
40.36009244,149.0714413,,,,
40.72917544,149.6838943,,,,
41.09701099,150.2920328,,,,
41.46335907,150.8936469,,,,
41.82797963,151.4865636,,,,
42.19063313,152.0686985,,,,
42.55108107,152.6380955,,,,
42.90908653,153.1929631,,,,
43.2644155,153.7317031,,,,
43.61683402,154.2529332,,,,
43.9661169,154.755501,,,,
44.31203579,155.2384904,,,,
44.65437319,155.7012216,,,,
44.99291356,156.1432438,,,,
45.32744704,156.564323,,,,
45.65777013,156.9644258,,,,
45.98368656,157.3436995,,,,
46.30500858,157.7024507,,,,
46.62155183,158.0411233,,,,
46.93314404,158.3602756,,,,
47.23962058,158.6605588,,,,
47.54082604,158.9426964,,,,
47.83661466,159.2074654,,,,
48.12685082,159.455679,,,,
