Weight,Height,,,,,
3.530203168,49.98888408,,,,,
4.003106424,52.6959753,,,,,
4.879525083,56.62842855,,,,,
5.672888765,59.60895343,,,,,
6.391391982,62.07700027,,,,,
7.041836432,64.2168641,,,,,
7.630425182,66.1253149,,,,,
8.162951035,67.8601799,,,,,
8.644832479,69.45908458,,,,,
9.081119817,70.94803912,,,,,
9.476500305,72.34586111,,,,,
9.835307701,73.6666541,,,,,
10.16153567,74.92129717,,,,,
10.45885399,76.11837536,,,,,
10.7306256,77.26479911,,,,,
10.97992482,78.36622309,,,,,
11.20955529,79.4273405,,,,,
11.4220677,80.45209492,,,,,
11.61977698,81.44383603,,,,,
11.80477902,82.40543643,,,,,
11.9789663,83.33938063,,,,,
12.14404334,84.24783394,,,,,
12.30154103,85.13269658,,,,,
12.45283028,85.9956488,,,,,
12.59913494,86.8381751,,,,,
12.6707633,86.45220101,,,,,
12.74154396,86.86160934,,,,,
12.88102276,87.65247282,,,,,
13.01842382,88.42326434,,,,,
13.1544966,89.17549228,,,,,
13.28989667,89.91040853,,,,,
13.42519408,90.62907762,,,,,
13.56088113,91.33242379,,,,,
13.69737858,92.02127167,,,,,
13.83504622,92.69637946,,,,,
13.97418299,93.35846546,,,,,
14.1150324,94.00822923,,,,,
14.25779618,94.64636981,,,,,
14.40262749,95.27359106,,,,,
14.54964614,95.91474929,,,,,
14.69893326,96.54734328,,,,,
14.85054151,97.17191309,,,,,
15.00449143,97.78897727,,,,,
15.16078454,98.3990283,,,,,
15.31940246,99.00254338,,,,,
15.48030313,99.599977,,,,,
15.64343309,100.191764,,,,,
15.80872535,100.7783198,,,,,
15.97610456,101.3600411,,,,,
16.14548194,101.9373058,,,,,
16.31676727,102.5104735,,,,,
16.4898646,103.0798852,,,,,
16.66467529,103.645864,,,,,
16.84109948,104.208713,,,,,
17.01903746,104.7687256,,,,,
17.1983908,105.3261638,,,,,
17.37906341,105.8812823,,,,,
17.56096245,106.4343146,,,,,
17.74400082,106.9854769,,,,,
17.92809121,107.534968,,,,,
18.11315625,108.0829695,,,,,
18.29912286,108.6296457,,,,,
18.48592413,109.1751441,,,,,
18.67349965,109.7195954,,,,,
18.86179576,110.2631136,,,,,
19.05076579,110.8057967,,,,,
19.24037019,111.3477265,,,,,
19.43057662,111.8889694,,,,,
19.62136007,112.4295761,,,,,
19.8127028,112.9695827,,,,,
20.0045944,113.5090108,,,,,
20.19703171,114.0478678,,,,,
20.39001872,114.5861486,,,,,
20.58356862,115.1238315,,,,,
20.77769565,115.6608862,,,,,
20.97242631,116.1972691,,,,,
21.16779192,116.732925,,,,,
21.36383013,117.2677879,,,,,
21.56058467,117.8017819,,,,,
21.75810506,118.3348215,,,,,
21.95644627,118.8668123,,,,,
22.15566842,119.397652,,,,,
22.35583862,119.9272309,,,,,
22.55702268,120.455433,,,,,
22.75929558,120.9821362,,,,,
22.9627344,121.5072136,,,,,
23.16741888,122.0305342,,,,,
23.37343341,122.5519634,,,,,
23.58086145,123.0713645,,,,,
23.78979096,123.588599,,,,,
24.00031064,124.1035312,,,,,
24.21251028,124.6160161,,,,,
24.42648043,125.1259182,,,,,
24.642312,125.6331012,,,,,
24.86009596,126.1374319,,,,,
25.07992303,126.6387804,,,,,
25.30188584,127.1370217,,,,,
25.52606977,127.6320362,,,,,
25.75256528,128.1237104,,,,,
25.9814599,128.6119383,,,,,
26.2128399,129.096622,,,,,
26.44679027,129.5776723,,,,,
26.68339457,130.0550101,,,,,
26.92273494,130.5285669,,,,,
27.16489199,130.9982857,,,,,
27.40994539,131.4641218,,,,,
27.65796978,131.9260439,,,,,
27.90904433,132.3840348,,,,,
28.16324264,132.838092,,,,,
28.42063744,133.2882291,,,,,
28.68130005,133.7344759,,,,,
28.94530029,134.1768801,,,,,
29.21270645,134.6155076,,,,,
29.48358527,135.0504433,,,,,
29.75800198,135.4817925,,,,,
30.03602021,135.9096813,,,,,
30.31770417,136.3342577,,,,,
30.60311107,136.7556923,,,,,
30.89230072,137.1741794,,,,,
31.18532984,137.5899378,,,,,
